Test Path,Expected Result,Minisat Speed (ns),Simulated Result,Simulated Cycles,Cycles Busy,Cycles Idle,Num Nodes,Topology,Node Bandwidth
tests/big/sat/uf100-430/uf100-0248.cnf,true,725500,true,340813,340813,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0274.cnf,true,1307208,true,72606,72606,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0512.cnf,true,1372708,true,1810183,1810183,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0506.cnf,true,781500,true,400225,400225,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0260.cnf,true,373875,true,30268,30268,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0738.cnf,true,854000,true,134689,134689,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0710.cnf,true,255250,true,973,973,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0704.cnf,true,182667,true,2431,2431,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0937.cnf,true,135084,true,74497,74497,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0923.cnf,true,2139917,true,426145,426145,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0658.cnf,true,155500,true,1298455,1298455,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0880.cnf,true,1175833,true,327634,327634,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0894.cnf,true,949000,true,309562,309562,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0664.cnf,true,181833,true,307883,307883,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0102.cnf,true,793708,true,80445,80445,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0116.cnf,true,166834,true,393995,393995,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0670.cnf,true,992125,true,27176,27176,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0843.cnf,true,136917,true,391626,391626,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0857.cnf,true,1243500,true,71306,71306,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-035.cnf,true,496875,true,12060,12060,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-021.cnf,true,430750,true,3366188,3366188,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0328.cnf,true,1215250,true,60794,60794,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0300.cnf,true,204458,true,609438,609438,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0466.cnf,true,202625,true,314674,314674,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0472.cnf,true,1109416,true,150904,150904,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0314.cnf,true,482542,true,37793,37793,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0499.cnf,true,601792,true,146551,146551,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0498.cnf,true,1838792,true,131491,131491,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0473.cnf,true,143167,true,385269,385269,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0315.cnf,true,1392875,true,585048,585048,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0301.cnf,true,904750,true,18453,18453,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0467.cnf,true,264292,true,308322,308322,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0329.cnf,true,248417,true,39608,39608,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-020.cnf,true,1178667,true,270217,270217,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-034.cnf,true,1024708,true,2213732,2213732,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0856.cnf,true,1526834,true,242634,242634,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0842.cnf,true,821875,true,374,374,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0117.cnf,true,845416,true,5205375,5205375,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0671.cnf,true,466209,true,373641,373641,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0665.cnf,true,491542,true,6941,6941,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0103.cnf,true,164791,true,108795,108795,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0895.cnf,true,337042,true,133523,133523,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0881.cnf,true,454125,true,491171,491171,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0659.cnf,true,1837041,true,41241,41241,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0922.cnf,true,563375,true,98010,98010,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0936.cnf,true,585667,true,63078,63078,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0705.cnf,true,300208,true,47907,47907,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0711.cnf,true,321125,true,892,892,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0739.cnf,true,496750,true,53045,53045,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0507.cnf,true,309875,true,359823,359823,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0261.cnf,true,315625,true,192127,192127,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0275.cnf,true,2604083,true,44609,44609,0,1,"Torus(1, 1)",1000000
